IsInstruction,Rating,RT,Response,TrialName,TrialOrder,condition,dot,inertia,num_observations,num_targets,scene,sigma_v,sigma_w,sigma_x,spring,ID
False,23,24267,False,18_7.mp4,41,4,7.0,0.8,8.0,4.0,18.0,2.2,1.2142857142857144,120.5,0.0007142857142857143,Participant_33
False,38,17171,True,12_1.mp4,42,4,1.0,0.8,8.0,4.0,12.0,2.2,1.0,120.5,0.0017857142857142857,Participant_33
False,36,12743,True,15_4.mp4,43,4,4.0,0.8,8.0,4.0,15.0,2.2,1.0,120.5,0.002,Participant_33
False,62,14168,False,26_7.mp4,44,4,7.0,0.8,8.0,4.0,26.0,2.2,1.2142857142857144,120.5,0.0015714285714285715,Participant_33
False,88,14460,False,70_3.mp4,45,4,3.0,0.8,8.0,4.0,70.0,2.2,1.857142857142857,120.5,0.0011428571428571427,Participant_33
False,96,15516,False,48_5.mp4,46,4,5.0,0.8,8.0,4.0,48.0,2.2,1.6428571428571428,120.5,0.0005,Participant_33
False,96,14508,False,123_8.mp4,47,4,8.0,0.8,8.0,4.0,123.0,2.2,2.5,120.5,0.0015714285714285715,Participant_33
False,86,13086,True,76_1.mp4,48,4,1.0,0.8,8.0,4.0,76.0,2.2,1.857142857142857,120.5,0.0017857142857142857,Participant_33
False,63,14605,False,19_8.mp4,49,4,8.0,0.8,8.0,4.0,19.0,2.2,1.2142857142857144,120.5,0.0007142857142857143,Participant_33
False,70,15935,False,56_5.mp4,50,4,5.0,0.8,8.0,4.0,56.0,2.2,1.6428571428571428,120.5,0.0013571428571428571,Participant_33
False,84,14665,False,106_7.mp4,51,4,7.0,0.8,8.0,4.0,106.0,2.2,2.2857142857142856,120.5,0.0015714285714285715,Participant_33
False,87,12762,False,9_6.mp4,52,4,6.0,0.8,8.0,4.0,9.0,2.2,1.0,120.5,0.0013571428571428571,Participant_33
False,91,13196,False,60_1.mp4,53,4,1.0,0.8,8.0,4.0,60.0,2.2,1.6428571428571428,120.5,0.0017857142857142857,Participant_33
False,80,14486,True,55_4.mp4,54,4,4.0,0.8,8.0,4.0,55.0,2.2,1.6428571428571428,120.5,0.0011428571428571427,Participant_33
False,89,12508,True,23_4.mp4,55,4,4.0,0.8,8.0,4.0,23.0,2.2,1.2142857142857144,120.5,0.0011428571428571427,Participant_33
False,100,18628,False,95_4.mp4,56,4,4.0,0.8,8.0,4.0,95.0,2.2,2.0714285714285716,120.5,0.002,Participant_33
False,97,13848,False,59_8.mp4,57,4,8.0,0.8,8.0,4.0,59.0,2.2,1.6428571428571428,120.5,0.0015714285714285715,Participant_33
False,93,15895,True,54_3.mp4,58,4,3.0,0.8,8.0,4.0,54.0,2.2,1.6428571428571428,120.5,0.0011428571428571427,Participant_33
False,77,13624,False,10_7.mp4,59,4,7.0,0.8,8.0,4.0,10.0,2.2,1.0,120.5,0.0015714285714285715,Participant_33
False,83,14708,False,52_1.mp4,60,4,1.0,0.8,8.0,4.0,52.0,2.2,1.6428571428571428,120.5,0.0009285714285714286,Participant_33
